9399	8703	-8500	-27	1131	-1727	-8305	-5316	828	-5678	9088	4442	2830	8334	-5943	4437	-3065	-6451	-8466	1605	4432	-2196	8985	2743	-5700	6436	-6439	-2769	2266	-3055	4201	1424	-3275	-999	-7573	-6841	8676	-26	5876	1707	6519	6474	1687	6602	-5823	2103	-4574	-1915	-2916	8676
8363	-2546	2010	-2695	-4311	6603	-8181	9343	-4511	1227	-3336	-9458	1999	-2124	-1947	8897	-12	-1567	1541	4191	-7024	-3951	-4428	-5113	-5996	1429	-6924	-5329	8820	2090	-2336	6416	-3538	8543	2800	344	174	2420	3711	6212	3774	840	8927	8298	-4806	3066	-8981	-1883	6184	7554
665	7825	7127	7783	-2490	-4398	1078	3544	8456	3541	-4681	-2990	592	-7102	-373	3964	4490	-3457	7306	-2417	7666	-3070	7116	6729	9177	-9249	-1017	-3398	-7932	-9369	-5630	647	8726	3312	5575	-770	4513	2922	-647	-8149	9726	-5676	7861	2541	-5816	8052	1487	-6719	-606	-7751
-4959	-8780	7932	7796	620	8762	8795	8829	-5160	4265	-3053	4080	-2509	-9128	-6695	3412	-3212	-2209	-8409	-4169	-3599	9325	-156	7826	-195	3296	3416	-6093	1394	9619	8382	-9967	5102	2196	3528	-4761	-6640	-6226	9505	7584	-6061	-7922	-7954	-6999	-7134	-5775	-1355	-8899	-6905	-6194
-4	-5629	-2347	8317	-9795	753	2765	-8268	6695	6166	-8190	1544	6542	6406	1390	-3832	2743	4287	-9358	5452	-7357	-6728	5821	1292	-507	-9039	-6156	1559	1988	2018	6247	-5856	9042	-8885	4081	-4537	1534	-7842	3412	-7740	503	-4521	8359	-5273	-9089	-733	2265	3598	-1135	-816
-649	-373	-4065	-7765	-1241	2575	2475	5486	-2204	-1371	-1695	-9785	3327	4917	5146	4540	3190	-1876	9659	5730	-8325	9676	2625	3386	4358	-8013	-8730	4140	-8306	8760	6179	-8900	-9818	-313	2908	8250	-9174	2809	-8010	-1525	-9036	-3800	2006	3774	700	-1003	7643	547	3034	-2155
7828	420	-4375	1053	2838	2248	4510	7713	6296	4975	6345	-7233	5918	4277	1874	-5165	142	4098	-9294	4881	5688	-5901	6125	-3784	-7745	7834	-4640	-1755	4197	113	8676	7107	7787	8612	-1159	-8668	-6039	9619	-6516	-5026	-788	-6506	-7727	-1669	-7587	4830	-4731	-9054	6724	-8746
-3610	8698	8961	5668	-1497	2331	9402	-164	-9351	7868	4806	9404	6545	-1984	1810	3652	-8466	-3003	-1223	5206	2085	4616	-939	1507	5176	-1202	-4834	3335	-1872	-6491	4859	-9549	5464	-2057	-5845	-5497	2002	7166	1983	-8895	-3181	9149	4647	-1746	6345	6039	6677	-8509	-4445	7329
-9238	-8171	7012	-488	-4817	-6427	9680	5683	-3324	-703	435	-8018	9919	-4721	-7037	-2585	-4698	-5008	5651	8844	-5734	5254	-7562	-715	-2217	-157	-6272	-7418	-5739	2080	-8023	8151	-4301	7550	-693	-9078	-4959	6120	135	7797	4152	-6277	9599	6010	-8899	2810	-8104	5379	-9579	-260
5407	-9576	-2540	-1500	-4004	9022	7893	-4730	-6230	-1851	-4562	-3191	-4003	-1979	9145	-9044	4400	-6016	6193	8388	-9058	-5879	-2593	6627	6252	-5106	2653	8431	5552	-4496	6451	-1620	-8093	-1888	-6418	-6984	-9985	1961	2352	4733	5627	-1324	-4540	1713	-4134	8441	-8160	3513	-3592	-215
816	1659	-2410	2712	-2540	7011	-2748	-2315	5463	4297	9415	-4977	7165	7755	-7889	4692	1631	-7037	6707	-6919	-6067	-3124	3049	9152	-6725	5514	-8100	-5913	-1919	-4102	7692	6812	8421	3505	-9235	-5964	-2999	8145	-5001	6881	990	-4353	5687	5742	-6071	-5385	-5189	3386	9216	-9479
-4604	6420	6378	8337	-5082	-238	-8511	7011	5404	-4579	-2280	-4968	8511	-1054	3613	-4062	-2992	-7600	-7690	1917	-1426	-8881	-429	-324	-4805	1322	6007	-3207	-5254	-566	-8218	-1870	6214	3214	7311	-8585	5280	9055	-745	-4856	2428	4007	-6952	-4505	-1699	8472	-3590	6549	2431	2262
1792	-1785	-2793	-6858	2590	1658	-5474	-1792	-9378	-464	-9302	-7706	-1316	4667	-8325	-3193	9616	1257	-1810	-1763	8085	-8239	-8296	-8644	1926	-1833	-9058	9023	2816	3483	3085	9453	-909	422	5177	-308	-3194	7397	-7999	-5819	8555	-4058	5641	-9272	-9003	-4683	-8041	7194	-2601	7305
9147	5960	3525	-9163	-9782	1850	-1017	-3595	4974	-6483	6740	1870	251	6978	-7067	-9424	3568	-5155	9394	2405	-7373	-6958	-8351	-8600	-8660	1697	4106	5883	-570	377	4637	1410	-5555	6627	-4677	3617	8052	-6597	1598	348	8914	4512	866	-8983	2491	1285	9460	2890	9806	-1325
-8902	7697	-458	-5672	-4591	9316	2368	7549	-5009	7261	2919	1317	-5097	-5107	2607	9655	9611	5318	-3759	9403	-2996	8660	-7	-3106	-9718	-8271	5374	-2554	5178	-7456	-670	5034	-1630	2651	-1368	-346	-7669	821	2624	-2290	7183	173	-3233	-982	-1424	5524	2942	3151	3794	7268
-5195	-6537	5425	9829	-2610	4153	-1534	-2117	-747	-257	-3887	4010	5892	7276	6588	9674	413	-3544	-6706	-216	9783	2033	5236	6941	9652	1478	-1495	4068	4941	-4278	-5383	3373	-5021	556	-893	2159	-4859	-81	521	-6112	672	3738	1346	6506	-4419	1148	-7510	-4938	3211	-504
-7237	4742	145	4881	2118	-1074	6721	1431	3999	6627	-1541	4930	-4787	-3454	6840	-7315	-5935	-5606	4421	-8359	-523	-7059	-9644	227	835	6523	-1095	9892	-503	-9388	-5498	4571	-2516	4644	5390	8910	-3505	4715	-4296	930	-3250	1854	1401	-1809	-9147	-1037	3058	3575	-4347	-3660
9973	895	-6952	2776	-6373	-9004	3193	2776	9678	7470	7310	-3043	-7994	8754	3802	-4010	-492	-2881	8042	4041	-5559	-8624	-2353	9027	-5262	7430	-8456	-7398	-2382	-9868	-9546	-6233	9147	1220	-1273	3164	-2909	3165	-7217	8450	-7190	4313	-1160	9201	-4327	-9504	-7963	-3910	-5467	-866
556	6705	-8618	298	-8243	-478	3042	8431	-3748	3633	-8498	-9737	-8811	4376	6419	304	663	-2437	7501	3963	-9936	8373	2383	2946	-6160	-8331	-8907	4812	914	7922	4949	-204	2180	2932	-5411	6415	5072	8290	8106	-488	8372	531	2829	-3212	1538	2459	2006	934	-2306	-6605
7038	-8626	6189	-3016	-3037	9283	6348	1501	-5773	-6650	-1959	1268	128	-1508	7852	2853	-1002	-6447	-5777	-3090	6864	6114	-7422	6722	5	2937	-3282	-8443	8811	7647	-9650	4383	-4930	-2066	-4861	5296	7754	2534	3842	9278	3040	-5772	-5043	-8691	8614	-895	711	1914	8157	929
8591	1268	-954	8558	-9109	-2410	-1992	-3545	4289	-4076	3230	4657	2317	-6274	374	-649	-3250	7863	1601	5847	9539	-9148	-879	-4576	3296	2501	-9971	-4386	6289	3652	7554	-4738	-9190	-4156	7011	-3556	9027	9089	-222	2867	4736	-494	-8065	2495	-6091	-6056	2030	8886	9172	-7491
-3611	6416	9226	-6817	9630	1376	7204	-8073	-5759	2352	6474	2595	7088	-8080	1473	-8868	-749	1334	7025	3120	3293	1137	-5977	-1137	6359	4293	9159	1382	-9696	-6801	1704	-8390	-4747	-3495	-9514	5698	-1311	-4473	-5327	-3389	-5531	624	8431	-4659	-4120	-8210	6155	2745	6058	-8686
-6066	7093	-1121	-8280	-4521	9222	-449	-2781	5379	9987	1413	-2901	6668	-1474	5090	-1512	-9958	-473	-9539	-1683	1207	-4128	6347	-5576	6592	7832	-1549	-8563	-8355	6683	-7498	-573	-2068	-7360	2642	-11	-9577	8839	-8653	-9330	5049	-2040	3833	625	-7851	-8021	-1597	3362	-6632	-6925
4469	-5125	374	5519	5780	-787	7376	-9499	-5308	9004	6653	-3403	3442	-9956	-1878	1748	6075	-7482	-1968	-4368	5149	3069	-4503	-3442	-9371	-2668	2510	-5393	6973	-5101	1519	3983	3684	8698	1215	-6955	-6345	2977	3131	4286	-9016	-6848	-3070	5692	-4428	5278	1415	2843	-7377	7301
1303	-3186	3608	-2441	8950	2344	-1142	4845	2323	557	9893	2070	757	-5995	5093	1284	-3096	6735	-7276	3273	-786	-7468	-8402	-7800	-480	4845	-3169	7863	6967	-8981	-4874	-2258	-8616	5518	-4210	-761	-5100	-4456	1019	7365	-6967	3545	-5453	8133	-6315	-6620	-5127	5301	-2587	81
5434	-1069	1993	-5751	6306	-4449	-647	7223	-6809	5504	-547	-8647	4014	5003	2193	3239	-3292	3297	8221	6435	-442	1281	432	-700	3398	8650	2345	-2433	-4023	3135	-5208	9280	-3061	-1300	-6297	-1733	3977	3818	8752	-7150	-4141	1212	407	-8826	-5778	4988	-4244	4818	1487	-4822
7042	-8085	-2572	-6965	-5151	-5017	8684	216	4846	-2576	6069	6405	771	-6594	310	1321	-6060	-4597	4660	5079	-7431	7248	8423	4941	-733	1441	3802	-7358	6628	-752	-1611	6837	1074	7111	-4454	6414	-4085	1486	7211	778	-976	-766	6906	-9312	-5726	3111	7948	-6653	3510	1904
4801	-6016	-9588	-8296	3057	6248	1977	-2906	-6710	1738	8154	7003	2100	-7185	3850	501	2604	4174	-2729	-1101	-8509	-6459	-3493	1027	-8082	-5772	-6191	6997	-7752	9369	2810	9913	9519	3052	-2513	7505	6049	949	8032	306	-3745	-3731	2553	-4668	5851	8820	2283	-1595	-3955	9877
-5454	-9181	-8733	7668	-660	-534	-4841	9516	-7572	4397	2068	1773	689	-8910	8186	-9838	-4051	-7251	-4491	631	-9217	1762	7048	-6183	-6516	-1100	1957	-1357	-9644	-203	3320	2228	-1577	2942	898	-8469	9976	6664	5545	-6327	191	3542	-9082	-7242	9630	1940	-2988	6459	-133	-1691
-8756	-1934	-859	-5345	-4998	-7191	-311	-6861	-4687	-3405	7860	-548	814	2748	-1898	-2185	-9935	-9520	8430	6891	7438	-9456	6158	-8404	-8423	-5418	5017	70	7714	5242	-3303	6292	-3978	-777	-7189	-3524	9026	8029	274	-6899	414	-7259	-3129	-5792	-9733	2587	9837	-9700	3035	2604
7449	2930	-738	4583	-896	-7175	3952	582	-3431	-4188	5957	2310	6651	-4950	-2550	-4615	-4659	6727	-3694	-9678	2642	-9228	-3371	2073	5362	-3036	9408	3593	-4669	-7882	-231	1869	7384	2436	-7880	-1076	4125	6590	4200	-3383	-5510	-1997	4864	-9432	-2191	253	5094	5392	5210	3011
5119	-6694	-3036	-5791	2113	9386	-8835	7590	-8407	8114	8248	-513	5181	-9717	-5545	2443	-4844	-8709	7302	-5605	82	-5296	-1919	3658	6418	-1208	3001	7788	-6874	-6859	-558	-1086	84	-4023	-2231	2480	5424	4231	-3365	-4485	-8021	1683	7609	6506	4652	-6773	-4414	-2551	-539	9113
-3688	8595	-6545	-1854	-9027	8495	7673	8765	9652	7380	-3988	4992	308	-6017	8383	1300	-9556	-4289	7252	-6501	-2282	4588	5473	5434	3856	1419	-878	7015	4485	2804	1775	563	9236	4742	8715	-5635	2981	4019	-8660	-343	-7486	7110	-5286	-1440	-2196	3313	9729	8575	-2743	9109
449	1228	4822	-2161	4099	-806	-9605	-1245	-5737	3990	-294	2252	-25	2360	-5965	-3616	5597	6153	2853	9912	-9403	-7320	8372	4018	4356	8294	2837	-1240	-3691	-7752	1707	-9067	-5411	5479	9592	-6869	-1902	-6073	-3100	-364	3799	3499	8480	9194	8120	6502	4899	1797	-9414	-6406
-211	8847	155	-973	473	789	-1141	2508	-9323	-7749	1264	4408	-1302	-3685	1916	-6537	-7400	8813	6206	-8740	-9281	-3796	-1058	-1352	2767	7077	-1160	5954	-4360	6196	9254	725	3064	4493	4900	8953	8433	5861	8110	-6987	-7477	-1353	-5018	4318	5119	3808	7984	125	-9447	4136
